iou_topk,mass_frac,roc_auc,pr_auc,filename,image_type,attack_type
0.08938502365293642,0.33488738536834717,0.6028076024808149,0.3268064094469587,000000000030.png,samecat,deepfool
0.09203630029134559,0.501568078994751,0.5743516154797077,0.4926106664823571,000000000030.png,diffcat,deepfool
0.3097913082504301,0.7594780325889587,0.7857604344115874,0.6203706604883632,000000000042.png,samecat,deepfool
0.24292619123041864,0.8424471616744995,0.8539441077836191,0.7824750267708803,000000000042.png,diffcat,deepfool
0.04641191812218446,0.1057671383023262,0.6013980540717399,0.11750256955563407,000000000071.png,samecat,deepfool
0.14450183803973948,0.43409454822540283,0.6546626876537069,0.39769080349263736,000000000071.png,diffcat,deepfool
0.11465509528496019,0.3062386214733124,0.6780436654277838,0.28465150370494413,000000000072.png,samecat,deepfool
0.12779303308156376,0.6906301975250244,0.6943994888726706,0.6759390361961652,000000000072.png,diffcat,deepfool
0.20229212567810262,0.40183284878730774,0.6895708035831325,0.34248892771814027,000000000073.png,samecat,deepfool
0.23739186817010105,0.5193719863891602,0.7435142252047204,0.4612682921021729,000000000073.png,diffcat,deepfool
0.1534453101285035,0.5598358511924744,0.697250798378156,0.505600833745636,000000000089.png,samecat,deepfool
0.24485272053200655,0.8390462398529053,0.8502539752693706,0.8053270110262063,000000000089.png,diffcat,deepfool
0.13520911937063498,0.6271042227745056,0.7272852650446779,0.6176648882687967,000000000092.png,samecat,deepfool
0.14369874811218314,0.7812544703483582,0.7167620702891068,0.7696727799796325,000000000092.png,diffcat,deepfool
0.15515546135862085,0.29750147461891174,0.6740437710947367,0.2214952879843931,000000000113.png,samecat,deepfool
0.23781739165425939,0.47904863953590393,0.78317619787555,0.4024755885136,000000000113.png,diffcat,deepfool
0.25567393771277264,0.48517969250679016,0.7777271216372597,0.5268655473733397,000000000127.png,samecat,deepfool
0.150569977294539,0.876950204372406,0.7429709464504517,0.8492727267459257,000000000127.png,diffcat,deepfool
0.14901496341807993,0.8937248587608337,0.8327879275589513,0.8856546883219584,000000000133.png,samecat,deepfool
0.11515207478640935,0.9778271913528442,0.9008506036604476,0.9799827900698258,000000000133.png,diffcat,deepfool
0.29908737340675423,0.5294957756996155,0.811338985075317,0.5017076315338862,000000000136.png,samecat,deepfool
0.22708254500243255,0.7239788174629211,0.7526447014840012,0.6291064170975494,000000000136.png,diffcat,deepfool
0.30616850551654967,0.7159062623977661,0.8013576029182071,0.638055575719558,000000000151.png,samecat,deepfool
0.20100103911350134,0.9242258667945862,0.8422162394761784,0.8342729748993297,000000000151.png,diffcat,deepfool
0.21392674474320544,0.6659576892852783,0.709967508451792,0.5863354248713636,000000000165.png,samecat,deepfool
0.15643053335824045,0.817483127117157,0.7482757521829939,0.7641552560741954,000000000165.png,diffcat,deepfool
0.1209275239068039,0.9428043961524963,0.7971766349738056,0.9467141091401402,000000000194.png,samecat,deepfool
0.10671677757015667,0.924693763256073,0.5852838729583387,0.9243287392673849,000000000194.png,diffcat,deepfool
0.11838431244144906,0.9745383858680725,0.8871759253536621,0.9693035328342067,000000000196.png,samecat,deepfool
0.109120432336269,0.9751211404800415,0.7768522943857887,0.9676559593928721,000000000196.png,diffcat,deepfool
0.1850282374624879,0.843933641910553,0.8248097588109541,0.7943212030398055,000000000208.png,samecat,deepfool
0.12458141976445065,0.9307868480682373,0.7957089710145173,0.905566077467871,000000000208.png,diffcat,deepfool
0.2549144355864863,0.6210796236991882,0.8025809213419788,0.6175955870330125,000000000241.png,samecat,deepfool
0.17740848669414472,0.688019335269928,0.7158177239931874,0.6367124522668912,000000000241.png,diffcat,deepfool
0.17267938116831155,0.6884049773216248,0.6812953302543612,0.6335913321508753,000000000247.png,samecat,deepfool
0.09733205975505532,0.9720354080200195,0.35925169266138063,0.9737427011492937,000000000247.png,diffcat,deepfool
0.14755447117566955,0.7585285305976868,0.7372924867033023,0.7160701358028456,000000000283.png,samecat,deepfool
0.128981102827947,0.9140129685401917,0.7598364841747578,0.891142677098311,000000000283.png,diffcat,deepfool
0.19108835944215644,0.5534074306488037,0.7344762872274155,0.4861064486888273,000000000294.png,samecat,deepfool
0.1401187458217224,0.7871086597442627,0.7514055640257686,0.7512352305283015,000000000294.png,diffcat,deepfool
0.08658698063915829,0.1758955419063568,0.5554303932456544,0.15780398125393744,000000000308.png,samecat,deepfool
