Metric,AnomalyOV,R50_nodown,WaveRep
iou_topk,0.013740584247593132,0.025382971695426346,0.13639765859697656
mass_frac,0.3966269281576527,0.6192888794075541,0.4618387099283905
pr_auc,0.42038764810988305,0.5856105530137511,0.5931301131615763
roc_auc,0.5030697183154115,0.7156870483523405,0.6754102321720163
