Metric,Image_Type,AnomalyOV,R50_nodown,WaveRep
iou_topk,diffcat,0.01329202007732161,0.021819437823436694,0.12798343405779813
iou_topk,samecat,0.014189148417864651,0.028946505567416,0.14481188313615492
mass_frac,diffcat,0.48867543641419686,0.7111442462057054,0.5599113178729009
mass_frac,samecat,0.30457841990110857,0.5274335126094029,0.3637661019838801
pr_auc,diffcat,0.5068607290328708,0.6759823629090389,0.6766413587051189
pr_auc,samecat,0.3338106331954012,0.4951301231546468,0.5095184935248321
roc_auc,diffcat,0.5092896441441521,0.7182032749592072,0.6846920986644177
roc_auc,samecat,0.49684231661428035,0.7131677974346483,0.6661172095900808
